64 Rk - wRCE,Year,Name,School,Position,Classification,G,AVG,OBP,SLG,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,SO,CS,PO,SB,IBB,PA
"2816","2026","Nick Riggs","Omaha","DH","So","20","0.250","0.391","0.481","12","52","13","0","3","25","2","10","11","1","0","0","16","0","0","3","0","64"
"2817","2026","Jack Sweeney","Rutgers","DH","So","7","0.167","0.375","0.417","2","12","2","0","0","5","1","1","2","2","0","0","3","0","0","1","0","16"
"2818","2026","Sam Ardoin","Northwestern St.","SS","Jr","31","0.195","0.254","0.237","13","118","23","3","1","28","0","11","10","0","2","3","38","3","0","4","0","133"
"2819","2026","Zach Plasschaert","Fresno St.","1B","So","15","0.194","0.359","0.581","7","31","6","3","0","18","3","12","7","1","0","0","19","0","1","0","0","39"
"2820","2026","Will White","Butler","C","Jr","16","0.277","0.382","0.426","6","47","13","1","0","20","2","6","6","2","0","0","12","2","0","5","0","55"
"2821","2026","Andres Chapa","UTRGV","INF","Fr","8","0.320","0.469","0.560","5","25","8","0","0","14","2","5","3","4","0","0","4","0","0","1","0","32"
"2822","2026","Brady Kaufman","Princeton","LF","Fr","25","0.243","0.312","0.271","8","70","17","2","0","19","0","2","6","1","0","0","21","0","1","2","0","77"
"2823","2026","Amari Conley","UT Martin","LF","So","17","0.314","0.386","0.373","12","51","16","3","0","19","0","5","6","0","0","0","9","0","0","2","1","57"
"2824","2026","Brandon Novy","NC State","DH","So","14","0.227","0.367","0.682","9","22","5","1","0","15","3","7","6","0","2","0","9","0","0","1","0","30"
"2825","2026","Magnus Krieger","Seton Hall","LF","So","8","0.400","0.559","0.480","9","25","10","2","0","12","0","5","6","3","0","0","5","0","0","1","0","34"
"2826","2026","Aidan Kuni","New Mexico","DH","Sr","7","0.375","0.469","0.750","6","24","9","3","0","18","2","16","5","1","2","0","4","0","0","0","0","32"
"2827","2026","Garrett McGovern","Merrimack","C","Fr","21","0.333","0.390","0.406","8","69","23","5","0","28","0","12","5","2","1","1","24","0","1","2","0","78"
"2828","2026","Miguel Correa Jr.","Central Mich.","SS","So","27","0.230","0.328","0.270","16","100","23","4","0","27","0","15","13","3","3","3","30","4","1","8","0","122"
"2829","2026","Cian Copeland","Miami (FL)","DH","So","17","0.200","0.351","0.367","9","30","6","2","0","11","1","10","7","0","0","0","5","0","0","2","0","37"
"2830","2026","Mo Little","Southeastern La.","RF","Sr","21","0.262","0.456","0.333","8","42","11","3","0","14","0","3","9","6","0","0","14","0","0","1","0","57"
"2831","2026","Chase Klingemann","UNC Asheville","3B","So","18","0.274","0.366","0.371","13","62","17","1","1","23","1","10","8","1","0","2","13","1","0","1","0","73"
"2832","2026","Justin Bremner","Canisius","RF","Jr","20","0.279","0.353","0.344","8","61","17","1","0","21","1","7","7","0","0","0","16","2","0","3","0","68"
"2833","2026","Luke Devine","Santa Clara","RF","So","21","0.220","0.351","0.271","10","59","13","1","1","16","0","9","7","7","4","1","18","2","1","2","0","78"
"2834","2026","Gabe Wright","Hawaii","LF","Sr","26","0.200","0.314","0.317","10","60","12","2","1","19","1","5","8","2","0","0","16","1","0","6","0","70"
"2835","2026","Carson Clark","Mount St. Mary's","2B","","22","0.246","0.425","0.246","11","61","15","0","0","15","0","6","15","4","0","0","6","2","1","6","1","80"
"2836","2026","Jaylin Manson","New Haven","LF","Fr","20","0.292","0.395","0.338","13","65","19","1","1","22","0","6","10","1","0","1","17","2","1","6","0","77"
"2837","2026","Austin Munguia","Texas St.","C","Sr","16","0.258","0.395","0.387","10","31","8","4","0","12","0","1","5","2","0","1","7","0","0","4","0","39"
"2838","2026","Landon Scilley","Liberty","3B","So","16","0.205","0.311","0.308","10","39","8","1","0","12","1","3","4","2","0","0","10","1","0","1","0","45"
"2839","2026","Josh Martinez","UNCW","C","So","15","0.321","0.387","0.500","6","28","9","2","0","14","1","7","2","1","0","1","4","0","0","0","0","32"
"2840","2026","Blake Herman","Canisius","C","Fr","18","0.140","0.302","0.233","3","43","6","1","0","10","1","1","7","3","0","1","14","0","0","0","0","54"
"2841","2026","Eddie Castillo","New Orleans","RF","Jr","14","0.200","0.440","0.486","9","35","7","4","0","17","2","6","6","9","0","1","13","2","0","1","0","51"
"2842","2026","Adrian Dominguez","New Orleans","DH","Sr","24","0.241","0.326","0.342","10","79","19","5","0","27","1","10","10","0","0","2","14","1","0","1","0","91"
"2843","2026","Casey Artigues","Nicholls","LF","Sr","23","0.221","0.294","0.273","12","77","17","2","1","21","0","7","7","1","0","2","10","2","0","4","0","87"
"2844","2026","Neil Jansen","San Jose St.","DH","Sr","20","0.147","0.275","0.206","5","34","5","2","0","7","0","4","4","2","0","0","17","0","0","1","0","40"
"2845","2026","Derek Houston","Utah Valley","C","Jr","19","0.292","0.397","0.542","10","48","14","3","0","26","3","9","5","4","1","0","9","1","0","4","0","58"
"2846","2026","Gage Bruce","Portland","RF","Sr","20","0.303","0.429","0.455","7","33","10","2","0","15","1","8","7","1","1","0","9","3","2","3","0","42"
"2847","2026","Luke Melton","Eastern Ill.","C","Sr","15","0.258","0.477","0.452","9","31","8","2","2","14","0","7","12","1","0","1","8","1","0","0","0","45"
"2848","2026","Casey Cerruto","New Haven","C","Sr","22","0.296","0.373","0.366","5","71","21","5","0","26","0","10","9","1","2","1","11","0","1","1","0","84"
